shinola.com,Shinola,https://www.linkedin.com/sales/company/2543868,2543868,https://www.linkedin.com/company/2543868,Consumer Goods,501-1000 employees,"Detroit, Michigan, United States",https://www.linkedin.com/sales/search/company?keywords=Shinola
tecovas.com,Tecovas,https://www.linkedin.com/sales/company/6398194,6398194,https://www.linkedin.com/company/6398194,Apparel & Fashion,201-500 employees,"Austin, Texas, United States",https://www.linkedin.com/sales/search/company?keywords=Tecovas
chimieyewear.com,Chimi Eyewear,https://www.linkedin.com/sales/company/28664717,28664717,https://www.linkedin.com/company/28664717,Wholesale,11-50 employees,"Stockholm, Stockholm County, Sweden",https://www.linkedin.com/sales/search/company?keywords=Chimi%20Eyewear
flattered.com,Flattered,https://www.linkedin.com/sales/company/5336422,5336422,https://www.linkedin.com/company/5336422,Apparel & Fashion,1-10 employees,"Stockholm, Stockholm County, Sweden",https://www.linkedin.com/sales/search/company?keywords=Flattered
nuori.com,NUORI,https://www.linkedin.com/sales/company/9461352,9461352,https://www.linkedin.com/company/9461352,Consumer Goods,11-50 employees,Denmark,https://www.linkedin.com/sales/search/company?keywords=NUORI
frankdarling.com,Frank Darling,https://www.linkedin.com/sales/company/18796296,18796296,https://www.linkedin.com/company/18796296,Luxury Goods & Jewelry,1-10 employees,"Brooklyn, New York, United States",https://www.linkedin.com/sales/search/company?keywords=Frank%20Darling
axelarigato.com,Axel Arigato,https://www.linkedin.com/sales/company/9462267,9462267,https://www.linkedin.com/company/9462267,Apparel & Fashion,51-200 employees,"Inom Vallgraven, Vastra Gotaland County, Sweden",https://www.linkedin.com/sales/search/company?keywords=Axel%20Arigato
rothys.com,Rothy's,https://www.linkedin.com/sales/company/4807609,4807609,https://www.linkedin.com/company/4807609,Consumer Goods,1001-5000 employees,"San Francisco, California, United States",https://www.linkedin.com/sales/search/company?keywords=Rothy's
sunniesstudios.com,Sunnies Studios,https://www.linkedin.com/sales/company/7588652,7588652,https://www.linkedin.com/company/7588652,Retail,51-200 employees,"Quezon City, National Capital Region, Philippines",https://www.linkedin.com/sales/search/company?keywords=Sunnies%20Studios
tattly.com,Tattly Temporary Tattoos,https://www.linkedin.com/sales/company/5071178,5071178,https://www.linkedin.com/company/5071178,Design,11-50 employees,"Brooklyn, New York, United States",https://www.linkedin.com/sales/search/company?keywords=Tattly%20Temporary%20Tattoos
baboontothemoon.com,BABOON to the MOON,https://www.linkedin.com/sales/company/11767639,11767639,https://www.linkedin.com/company/11767639,Retail,1-10 employees,"New York, New York, United States",https://www.linkedin.com/sales/search/company?keywords=BABOON%20to%20the%20MOON
sunski.com,Sunski,https://www.linkedin.com/sales/company/6408915,6408915,https://www.linkedin.com/company/6408915,Apparel & Fashion,,1-10 employees,https://www.linkedin.com/sales/search/company?keywords=Sunski
mansurgavriel.com,Mansurgavriel,https://www.linkedin.com/sales/company/11046834,11046834,https://www.linkedin.com/company/11046834,Apparel & Fashion,51-200 employees,"New York, Iowa, United States",https://www.linkedin.com/sales/search/company?keywords=Mansurgavriel
happysocks.com,Happy Socks,https://www.linkedin.com/sales/company/798617,798617,https://www.linkedin.com/company/798617,Apparel & Fashion,51-200 employees,"Stockholm, Stockholm County, Sweden",https://www.linkedin.com/sales/search/company?keywords=Happy%20Socks
statebags.com,State Bags,https://www.linkedin.com/sales/company/10583065,10583065,https://www.linkedin.com/company/10583065,Retail,11-50 employees,"New York, New York, United States",https://www.linkedin.com/sales/search/company?keywords=State%20Bags
cleanorigin.com,Clean Origin,https://www.linkedin.com/sales/company/27180016,27180016,https://www.linkedin.com/company/27180016,Luxury Goods & Jewelry,11-50 employees,"Stamford, Connecticut, United States",https://www.linkedin.com/sales/search/company?keywords=Clean%20Origin
carlacolour.com,Carla Colour,https://www.linkedin.com/sales/company/3187047,3187047,https://www.linkedin.com/company/3187047,Real Estate,11-50 employees,"Chatswood, New South Wales, Australia",https://www.linkedin.com/sales/search/company?keywords=Carla%20Colour
cocoandbreezy.com,Coco and Breezy,https://www.linkedin.com/sales/company/9326757,9326757,https://www.linkedin.com/company/9326757,Apparel & Fashion,1-10 employees,"New York, New York, United States",https://www.linkedin.com/sales/search/company?keywords=Coco%20and%20Breezy
ashya.co,Ashya,https://www.linkedin.com/sales/company/12623045,12623045,https://www.linkedin.com/company/12623045,Apparel & Fashion,1-10 employees,"Brooklyn, New York, United States",https://www.linkedin.com/sales/search/company?keywords=Ashya
zennioptical.com,Zenni Optical,https://www.linkedin.com/sales/company/1690070,1690070,https://www.linkedin.com/company/1690070,Consumer Goods,1001-5000 employees,"Novato, California, United States",https://www.linkedin.com/sales/search/company?keywords=Zenni%20Optical
stance.com,Stance Socks,https://www.linkedin.com/sales/company/2154624,2154624,https://www.linkedin.com/company/2154624,Apparel & Fashion,51-200 employees,"San Clemente, California, United States",https://www.linkedin.com/sales/search/company?keywords=Stance%20Socks
renttherunway.com,Rent The Runway,https://www.linkedin.com/sales/company/1072347,1072347,https://www.linkedin.com/company/1072347,Retail,501-1000 employees,"New York, New York, United States",https://www.linkedin.com/sales/search/company?keywords=Rent%20The%20Runway
rebag.com,Rebag,https://www.linkedin.com/sales/company/5346577,5346577,https://www.linkedin.com/company/5346577,Apparel & Fashion,51-200 employees,"New York, New York, United States",https://www.linkedin.com/sales/search/company?keywords=Rebag
qalo.com,Qalo,https://www.linkedin.com/sales/company/4848103,4848103,https://www.linkedin.com/company/4848103,Retail,11-50 employees,"Santa Ana, California, United States",https://www.linkedin.com/sales/search/company?keywords=Qalo
mvmtwatches.com,MVMT,https://www.linkedin.com/sales/company/3542220,3542220,https://www.linkedin.com/company/3542220,Apparel & Fashion,11-50 employees,United States,https://www.linkedin.com/sales/search/company?keywords=MVMT
mejuri.com,Mejuri,https://www.linkedin.com/sales/company/2926340,2926340,https://www.linkedin.com/company/2926340,Apparel & Fashion,51-200 employees,"Toronto, Ontario, Canada",https://www.linkedin.com/sales/search/company?keywords=Mejuri
italic.com,Italic,https://www.linkedin.com/sales/company/18677238,18677238,https://www.linkedin.com/company/18677238,Internet,51-200 employees,"Los Angeles, California, United States",https://www.linkedin.com/sales/search/company?keywords=Italic
draperjames.com,Draper James,https://www.linkedin.com/sales/company/7800591,7800591,https://www.linkedin.com/company/7800591,Retail,11-50 employees,"New York, New York, United States",https://www.linkedin.com/sales/search/company?keywords=Draper%20James
cuyana.com,Cuyana,https://www.linkedin.com/sales/company/3286421,3286421,https://www.linkedin.com/company/3286421,Apparel & Fashion,51-200 employees,"San Francisco, California, United States",https://www.linkedin.com/sales/search/company?keywords=Cuyana
bombas.com,Bombas,https://www.linkedin.com/sales/company/10055318,10055318,https://www.linkedin.com/company/10055318,Apparel & Fashion,51-200 employees,"New York, New York, United States",https://www.linkedin.com/sales/search/company?keywords=Bombas
baublebar.com,BaubleBar,https://www.linkedin.com/sales/company/1552902,1552902,https://www.linkedin.com/company/1552902,Retail,51-200 employees,"New York, New York, United States",https://www.linkedin.com/sales/search/company?keywords=BaubleBar
auratenewyork.com,Aurate New York,https://www.linkedin.com/sales/company/10533043,10533043,https://www.linkedin.com/company/10533043,Luxury Goods & Jewelry,11-50 employees,"New York, New York, United States",https://www.linkedin.com/sales/search/company?keywords=Aurate%20New%20York
